Rank,Rating,Movie
567, 7.8/10 ,The Lego Movie    (2014)
568, 7.8/10 ,The Last of the Mohicans    (1992)
569, 7.8/10 ,The Dirty Dozen    (1967)
570, 7.8/10 ,Atonement    (2007)
571, 7.8/10 ,Zulu    (1964)
572, 7.8/10 ,The Goonies    (1985)
573, 7.8/10 ,Invasion of the Body Snatchers    (1956)
574, 7.8/10 ,"O Brother, Where Art Thou?    (2000)"
575, 7.8/10 ,Airplane!    (1980)
576, 7.8/10 ,The Fugitive    (1993)
577, 7.8/10 ,The Longest Day    (1962)
578, 7.8/10 ,The Color Purple    (1985)
579, 7.8/10 ,Night on Earth    (1991)
580, 7.8/10 ,Captain America: The Winter Soldier    (2014)
581, 7.8/10 ,The Hangover    (2009)
582, 7.8/10 ,X-Men: First Class    (2011)
583, 7.8/10 ,The Verdict    (1982)
584, 7.8/10 ,Wreck-It Ralph    (2012)
585, 7.8/10 ,Kingsman: The Secret Service    (2014)
586, 7.8/10 ,Once Upon a Time in Anatolia    (2011)
587, 7.8/10 ,Sicario    (2015)
588, 7.8/10 ,The Last Emperor    (1987)
589, 7.8/10 ,South Park: Bigger Longer & Uncut    (1999)
590, 7.8/10 ,Mary Poppins    (1964)
591, 7.8/10 ,Lost in Translation    (2003)
592, 7.8/10 ,Kung Fu Hustle    (2004)
593, 7.8/10 ,Boyz n the Hood    (1991)
594, 7.8/10 ,The Tenant    (1976)
595, 7.8/10 ,The Game    (1997)
596, 7.8/10 ,Run Lola Run    (1998)
597, 7.8/10 ,Lucky Number Slevin    (2006)
598, 7.8/10 ,Being John Malkovich    (1999)
599, 7.8/10 ,The Experiment    (2001)
600, 7.8/10 ,From Here to Eternity    (1953)
601, 7.8/10 ,Blazing Saddles    (1974)
602, 7.8/10 ,Bridge of Spies    (2015)
603, 7.8/10 ,What's Eating Gilbert Grape    (1993)
604, 7.8/10 ,Awakenings    (1990)
605, 7.8/10 ,Donnie Brasco    (1997)
606, 7.8/10 ,Skyfall    (2012)
607, 7.8/10 ,Serpico    (1973)
608, 7.8/10 ,Breakfast at Tiffany's    (1961)
609, 7.8/10 ,The Name of the Rose    (1986)
610, 7.8/10 ,Pride    (2014)
611, 7.8/10 ,The Broken Circle Breakdown    (2012)
612, 7.8/10 ,Changeling    (2008)
613, 7.8/10 ,The Sandlot    (1993)
614, 7.8/10 ,Goldfinger    (1964)
615, 7.8/10 ,The Bourne Supremacy    (2004)
616, 7.8/10 ,Finding Neverland    (2004)
617, 7.8/10 ,Kramer vs. Kramer    (1979)
618, 7.8/10 ,(500) Days of Summer    (2009)
619, 7.8/10 ,3:10 to Yuma    (2007)
620, 7.8/10 ,Argo    (2012)
621, 7.8/10 ,Il Postino: The Postman    (1994)
622, 7.8/10 ,Ocean's Eleven    (2001)
623, 7.8/10 ,Nebraska    (2013)
624, 7.8/10 ,Remember the Titans    (2000)
625, 7.8/10 ,The Social Network    (2010)
626, 7.8/10 ,A Bronx Tale    (1993)
627, 7.8/10 ,The Purple Rose of Cairo    (1985)
628, 7.8/10 ,The King of Comedy    (1982)
629, 7.8/10 ,Control    (2007)
630, 7.8/10 ,Deliverance    (1972)
631, 7.8/10 ,As Good as It Gets    (1997)
632, 7.7/10 ,The Birds    (1963)
633, 7.7/10 ,Good Bye Lenin!    (2003)
634, 7.7/10 ,300    (2006)
635, 7.7/10 ,Man on Fire    (2004)
636, 7.7/10 ,Ray    (2004)
637, 7.7/10 ,Star Trek II: The Wrath of Khan    (1982)
638, 7.7/10 ,The Red Violin    (1998)
639, 7.7/10 ,The Count of Monte Cristo    (2002)
640, 7.7/10 ,Battle Royale    (2000)
641, 7.7/10 ,Sabrina    (1954)
642, 7.7/10 ,Flipped    (2010)
643, 7.7/10 ,A Hard Day's Night    (1964)
644, 7.7/10 ,Rushmore    (1998)
645, 7.7/10 ,Detachment    (2011)
646, 7.7/10 ,The Machinist    (2004)
647, 7.7/10 ,The Theory of Everything    (2014)
648, 7.7/10 ,Paprika    (2006)
649, 7.7/10 ,Road to Perdition    (2002)
650, 7.7/10 ,Short Cuts    (1993)
651, 7.7/10 ,Adaptation.    (2002)
652, 7.7/10 ,Dark City    (1998)
653, 7.7/10 ,Barton Fink    (1991)
654, 7.7/10 ,Black Hawk Down    (2001)
655, 7.7/10 ,Cast Away    (2000)
656, 7.7/10 ,Dead Man's Shoes    (2004)
657, 7.7/10 ,The Last Samurai    (2003)
658, 7.7/10 ,A Very Long Engagement    (2004)
659, 7.7/10 ,21 Grams    (2003)
660, 7.7/10 ,Titanic    (1997)
661, 7.7/10 ,Ex Machina    (2015)
662, 7.7/10 ,The Great Beauty    (2013)
663, 7.7/10 ,Love Me If You Dare    (2003)
664, 7.7/10 ,Mysterious Skin    (2004)
665, 7.7/10 ,The Last King of Scotland    (2006)
666, 7.7/10 ,Frost/Nixon    (2008)
667, 7.7/10 ,50/50    (2011)
668, 7.7/10 ,Delicatessen    (1991)
669, 7.7/10 ,Enter the Dragon    (1973)
670, 7.7/10 ,Stardust    (2007)
671, 7.7/10 ,Despicable Me    (2010)
672, 7.7/10 ,Fear and Loathing in Las Vegas    (1998)
673, 7.7/10 ,Dead Man    (1995)
674, 7.7/10 ,Malcolm X    (1992)
675, 7.7/10 ,Training Day    (2001)
676, 7.7/10 ,Kick-Ass    (2010)
677, 7.7/10 ,Ponyo    (2008)
678, 7.7/10 ,Harry Potter and the Deathly Hallows: Part 1    (2010)
679, 7.7/10 ,The Station Agent    (2003)
680, 7.7/10 ,Zombieland    (2009)
681, 7.7/10 ,25th Hour    (2002)
682, 7.7/10 ,Giant    (1956)
683, 7.7/10 ,Brokeback Mountain    (2005)
684, 7.7/10 ,Sympathy for Mr. Vengeance    (2002)
685, 7.7/10 ,Shine    (1996)
686, 7.7/10 ,The Dinner Game    (1998)
687, 7.7/10 ,Billy Elliot    (2000)
688, 7.7/10 ,Forbidden Planet    (1956)
689, 7.7/10 ,Philadelphia    (1993)
690, 7.7/10 ,Gone Baby Gone    (2007)
691, 7.7/10 ,The Sweet Hereafter    (1997)
692, 7.7/10 ,The Butterfly Effect    (2004)
693, 7.7/10 ,Primal Fear    (1996)
694, 7.7/10 ,The Blind Side    (2009)
695, 7.7/10 ,Close Encounters of the Third Kind    (1977)
696, 7.7/10 ,This Is England    (2006)
697, 7.7/10 ,The Warriors    (1979)
698, 7.7/10 ,Three Colors: White    (1994)
699, 7.7/10 ,Sense and Sensibility    (1995)
700, 7.7/10 ,The Producers    (1967)
701, 7.7/10 ,The Visitor    (2007)
702, 7.7/10 ,Where Eagles Dare    (1968)
703, 7.7/10 ,After Hours    (1985)
704, 7.7/10 ,Match Point    (2005)
705, 7.7/10 ,Coraline    (2009)
706, 7.7/10 ,Sophie's Choice    (1982)
707, 7.7/10 ,Boy A    (2007)
708, 7.7/10 ,The City of Lost Children    (1995)
709, 7.7/10 ,Love Actually    (2003)
710, 7.7/10 ,Dazed and Confused    (1993)
711, 7.7/10 ,Blood Simple.    (1984)
712, 7.7/10 ,The Muppet Christmas Carol    (1992)
713, 7.7/10 ,Fearless    (2006)
714, 7.7/10 ,Shane    (1953)
715, 7.7/10 ,Who Framed Roger Rabbit    (1988)
716, 7.7/10 ,Show Me Love    (1998)
717, 7.7/10 ,Midnight in Paris    (2011)
718, 7.7/10 ,Dangerous Liaisons    (1988)
719, 7.7/10 ,Saw    (2004)
720, 7.7/10 ,Eastern Promises    (2007)
721, 7.7/10 ,Cell 211    (2009)
722, 7.7/10 ,Blow-Up    (1966)
723, 7.7/10 ,True Grit    (2010)
724, 7.7/10 ,Lolita    (1962)
725, 7.7/10 ,Snow White and the Seven Dwarfs    (1937)
726, 7.7/10 ,First Blood    (1982)
727, 7.7/10 ,In a Better World    (2010)
728, 7.7/10 ,Zodiac    (2007)
729, 7.7/10 ,Little Big Man    (1970)
730, 7.7/10 ,Minority Report    (2002)
731, 7.7/10 ,Leviathan    (2014)
732, 7.7/10 ,The Secret World of Arrietty    (2010)
733, 7.7/10 ,End of Watch    (2012)
734, 7.7/10 ,La Vie en Rose    (2007)
735, 7.7/10 ,Sympathy for Lady Vengeance    (2005)
736, 7.7/10 ,Seven Pounds    (2008)
737, 7.7/10 ,Y Tu Mamá También    (2001)
738, 7.7/10 ,Midnight Express    (1978)
739, 7.7/10 ,Spellbound    (1945)
740, 7.7/10 ,Lost Highway    (1997)
741, 7.7/10 ,Kelly's Heroes    (1970)
742, 7.7/10 ,The Fifth Element    (1997)
743, 7.6/10 ,The Big Blue    (1988)
744, 7.6/10 ,The Player    (1992)
745, 7.6/10 ,Moulin Rouge!    (2001)
746, 7.6/10 ,Traffic    (2000)
747, 7.6/10 ,Dawn of the Planet of the Apes    (2014)
748, 7.6/10 ,Star Wars: Episode III - Revenge of the Sith    (2005)
749, 7.6/10 ,Watchmen    (2009)
750, 7.6/10 ,Grindhouse    (2007)
751, 7.6/10 ,Inside Man    (2006)
752, 7.6/10 ,Fried Green Tomatoes    (1991)
753, 7.6/10 ,MASH    (1970)
754, 7.6/10 ,Kiss Kiss Bang Bang    (2005)
755, 7.6/10 ,Whale Rider    (2002)
756, 7.6/10 ,Harry Potter and the Goblet of Fire    (2005)
757, 7.6/10 ,Stranger Than Fiction    (2006)
758, 7.6/10 ,Philomena    (2013)
759, 7.6/10 ,The Royal Tenenbaums    (2001)
760, 7.6/10 ,I Am Sam    (2001)
761, 7.6/10 ,The Wicker Man    (1973)
762, 7.6/10 ,A Few Good Men    (1992)
763, 7.6/10 ,Mad Max 2: The Road Warrior    (1981)
764, 7.6/10 ,The Thin Red Line    (1998)
765, 7.6/10 ,High Plains Drifter    (1973)
766, 7.6/10 ,The Illusionist    (2006)
767, 7.6/10 ,The Jungle Book    (1967)
768, 7.6/10 ,The Haunting    (1963)
769, 7.6/10 ,Lethal Weapon    (1987)
770, 7.6/10 ,The Flowers of War    (2011)
771, 7.6/10 ,127 Hours    (2010)
772, 7.6/10 ,Les Misérables    (2012)
773, 7.6/10 ,The Skin I Live In    (2011)
774, 7.6/10 ,The Hunger Games: Catching Fire    (2013)
775, 7.6/10 ,When Harry Met Sally...    (1989)
776, 7.6/10 ,United 93    (2006)
777, 7.6/10 ,The Godfather: Part III    (1990)
778, 7.6/10 ,Blow    (2001)
779, 7.6/10 ,Sherlock Holmes    (2009)
780, 7.6/10 ,28 Days Later...    (2002)
781, 7.6/10 ,Milk    (2008)
782, 7.6/10 ,The Kite Runner    (2007)
783, 7.6/10 ,Thank You for Smoking    (2005)
784, 7.6/10 ,American Psycho    (2000)
785, 7.6/10 ,Lord of War    (2005)
786, 7.6/10 ,House of Sand and Fog    (2003)
787, 7.6/10 ,Superbad    (2007)
788, 7.6/10 ,Ghost in the Shell 2: Innocence    (2004)
789, 7.6/10 ,Munich    (2005)
790, 7.6/10 ,The Legend of Drunken Master    (1994)
791, 7.6/10 ,Dracula    (1931)
792, 7.6/10 ,The Raid: Redemption    (2011)
793, 7.6/10 ,The Crow    (1994)
794, 7.6/10 ,The Others    (2001)
795, 7.6/10 ,The Naked Gun: From the Files of Police Squad!    (1988)
796, 7.6/10 ,Volver    (2006)
797, 7.6/10 ,Animal House    (1978)
798, 7.6/10 ,Army of Darkness    (1992)
799, 7.6/10 ,Apollo 13    (1995)
800, 7.6/10 ,Man Bites Dog    (1992)
801, 7.6/10 ,West Side Story    (1961)
802, 7.6/10 ,The Party    (1968)
803, 7.6/10 ,Frozen    (2013)
804, 7.6/10 ,The Hurt Locker    (2008)
805, 7.6/10 ,The Last Temptation of Christ    (1988)
806, 7.6/10 ,Escape from Alcatraz    (1979)
807, 7.6/10 ,The Hunt for Red October    (1990)
808, 7.6/10 ,The Counterfeiters    (2007)
809, 7.6/10 ,13 Assassins    (2010)
810, 7.6/10 ,A Fish Called Wanda    (1988)
811, 7.6/10 ,A Royal Affair    (2012)
812, 7.6/10 ,Zatoichi    (2003)
813, 7.6/10 ,The Impossible    (2012)
814, 7.6/10 ,Fury    (2014)
815, 7.6/10 ,The Man Who Wasn't There    (2001)
816, 7.6/10 ,The Time Machine    (1960)
817, 7.6/10 ,Indiana Jones and the Temple of Doom    (1984)
818, 7.6/10 ,Kung Fu Panda    (2008)
819, 7.6/10 ,Following    (1998)
820, 7.6/10 ,Funny Games    (1997)
821, 7.6/10 ,"It's a Mad, Mad, Mad, Mad World    (1963)"
822, 7.6/10 ,Falling Down    (1993)
823, 7.6/10 ,Hunger    (2008)
824, 7.6/10 ,Enemy at the Gates    (2001)
825, 7.6/10 ,The Abyss    (1989)
826, 7.6/10 ,The Guns of Navarone    (1961)
827, 7.6/10 ,Ip Man 2    (2010)
828, 7.6/10 ,Robin Hood    (1973)
829, 7.6/10 ,The Little Mermaid    (1989)
830, 7.6/10 ,"Lust, Caution    (2007)"
831, 7.6/10 ,The Secret of NIMH    (1982)
832, 7.6/10 ,The Wave    (2008)
833, 7.6/10 ,Moneyball    (2011)
834, 7.6/10 ,The Piano    (1993)
835, 7.6/10 ,Secondhand Lions    (2003)
836, 7.6/10 ,An American Werewolf in London    (1981)
837, 7.6/10 ,Avengers: Age of Ultron    (2015)
838, 7.6/10 ,The Reader    (2008)
839, 7.6/10 ,Garden State    (2004)
840, 7.6/10 ,Die Hard: With a Vengeance    (1995)
841, 7.6/10 ,The Great Debaters    (2007)
842, 7.6/10 ,Interview with the Vampire: The Vampire Chronicles    (1994)
843, 7.6/10 ,The Meaning of Life    (1983)
844, 7.6/10 ,Hoosiers    (1986)
845, 7.6/10 ,Mesrine Part 1: Killer Instinct    (2008)
846, 7.6/10 ,The Omen    (1976)
847, 7.6/10 ,Midnight Run    (1988)
848, 7.6/10 ,The Book Thief    (2013)
849, 7.6/10 ,A Single Man    (2009)
850, 7.6/10 ,Little Children    (2006)
851, 7.6/10 ,Dead Alive    (1992)
852, 7.6/10 ,Disconnect    (2012)
853, 7.6/10 ,Lone Survivor    (2013)
854, 7.6/10 ,Ice Age    (2002)
855, 7.6/10 ,Leaving Las Vegas    (1995)
856, 7.6/10 ,The Town    (2010)
857, 7.6/10 ,Tucker and Dale vs. Evil    (2010)
858, 7.6/10 ,Boys Don't Cry    (1999)
859, 7.6/10 ,Rise of the Planet of the Apes    (2011)
860, 7.6/10 ,Chaplin    (1992)
861, 7.6/10 ,Dead Man Walking    (1995)
862, 7.6/10 ,The Evil Dead    (1981)
863, 7.6/10 ,Headhunters    (2011)
864, 7.6/10 ,Tell No One    (2006)
865, 7.6/10 ,Collateral    (2004)
866, 7.6/10 ,High Fidelity    (2000)
867, 7.6/10 ,The Hours    (2002)
868, 7.6/10 ,The Fisher King    (1991)
869, 7.6/10 ,Batman    (1989)
870, 7.6/10 ,"Planes, Trains & Automobiles    (1987)"
871, 7.6/10 ,Sideways    (2004)
872, 7.6/10 ,House of Flying Daggers    (2004)
873, 7.6/10 ,What We Do in the Shadows    (2014)
874, 7.6/10 ,Hair    (1979)
875, 7.6/10 ,Field of Dreams    (1989)
876, 7.6/10 ,The Hurricane    (1999)
877, 7.6/10 ,Hugo    (2011)
878, 7.6/10 ,Star Trek: First Contact    (1996)
879, 7.6/10 ,Christmas Vacation    (1989)
880, 7.6/10 ,The Damned United    (2009)
881, 7.5/10 ,Ghost Dog: The Way of the Samurai    (1999)
882, 7.5/10 ,The Assassination of Jesse James by the Coward Robert Ford    (2007)
883, 7.5/10 ,The Natural    (1984)
884, 7.5/10 ,Sleepers    (1996)
885, 7.5/10 ,August Rush    (2007)
886, 7.5/10 ,"The Cook, the Thief, His Wife & Her Lover    (1989)"
887, 7.5/10 ,The Edukators    (2004)
888, 7.5/10 ,Bullets Over Broadway    (1994)
889, 7.5/10 ,Rudy    (1993)
890, 7.5/10 ,The Life of David Gale    (2003)
891, 7.5/10 ,Gangs of New York    (2002)
892, 7.5/10 ,"Good Night, and Good Luck.    (2005)"
893, 7.5/10 ,RoboCop    (1987)
894, 7.5/10 ,The Wind That Shakes the Barley    (2006)
895, 7.5/10 ,Menace II Society    (1993)
896, 7.5/10 ,Jacob's Ladder    (1990)
897, 7.5/10 ,42(2013)
898, 7.5/10 ,Juno    (2007)
899, 7.5/10 ,Of Mice and Men    (1992)
900, 7.5/10 ,The Bridges of Madison County    (1995)
901, 7.5/10 ,Elizabeth    (1998)
902, 7.5/10 ,Straw Dogs    (1971)
903, 7.5/10 ,Equilibrium    (2002)
904, 7.5/10 ,Green Street Hooligans    (2005)
905, 7.5/10 ,Perfume: The Story of a Murderer    (2006)
906, 7.5/10 ,The Class    (2008)
907, 7.5/10 ,Life as a House    (2001)
908, 7.5/10 ,Saving Mr. Banks    (2013)
909, 7.5/10 ,Quiz Show    (1994)
910, 7.5/10 ,Jackie Brown    (1997)
911, 7.5/10 ,The Painted Veil    (2006)
912, 7.5/10 ,A Perfect World    (1993)
913, 7.5/10 ,Reign Over Me    (2007)
914, 7.5/10 ,A Simple Plan    (1998)
915, 7.5/10 ,The Fly    (1986)
916, 7.5/10 ,The Curse of the Were-Rabbit    (2005)
917, 7.5/10 ,The Illusionist    (2010)
918, 7.5/10 ,American Splendor    (2003)
919, 7.5/10 ,Maria Full of Grace    (2004)
920, 7.5/10 ,Pleasantville    (1998)
921, 7.5/10 ,The Man Who Knew Too Much    (1956)
922, 7.5/10 ,American Graffiti    (1973)
923, 7.5/10 ,Mulan    (1998)
924, 7.5/10 ,Marathon Man    (1976)
925, 7.5/10 ,Steve Jobs    (2015)
926, 7.5/10 ,Miracle    (2004)
927, 7.5/10 ,Scott Pilgrim vs. the World    (2010)
928, 7.5/10 ,Sherlock Holmes: A Game of Shadows    (2011)
929, 7.5/10 ,Doubt    (2008)
930, 7.5/10 ,The Conjuring    (2013)
931, 7.5/10 ,Legends of the Fall    (1994)
932, 7.5/10 ,Cloud Atlas    (2012)
933, 7.5/10 ,We Need to Talk About Kevin    (2011)
934, 7.5/10 ,Freedom Writers    (2007)
935, 7.5/10 ,Gallipoli    (1981)
936, 7.5/10 ,My Cousin Vinny    (1992)
937, 7.5/10 ,Three Days of the Condor    (1975)
938, 7.5/10 ,A Nightmare on Elm Street    (1984)
939, 7.5/10 ,Harry Potter and the Half-Blood Prince    (2009)
940, 7.5/10 ,Malèna    (2000)
941, 7.5/10 ,Pinocchio    (1940)
942, 7.5/10 ,Rust and Bone    (2012)
943, 7.5/10 ,The Ice Storm    (1997)
944, 7.5/10 ,The Orphanage    (2007)
945, 7.5/10 ,The Walk    (2015)
946, 7.5/10 ,Selma    (2014)
947, 7.5/10 ,Despicable Me 2    (2013)
948, 7.5/10 ,Best in Show    (2000)
949, 7.5/10 ,Everything Is Illuminated    (2005)
950, 7.5/10 ,Total Recall    (1990)
951, 7.5/10 ,Harry Potter and the Sorcerer's Stone    (2001)
952, 7.5/10 ,Southpaw    (2015)
953, 7.5/10 ,The Devil's Advocate    (1997)
954, 7.5/10 ,X2    (2003)
955, 7.5/10 ,Felon    (2008)
956, 7.5/10 ,[Rec]    (2007)
957, 7.5/10 ,Fruitvale Station    (2013)
958, 7.5/10 ,To Catch a Thief    (1955)
959, 7.5/10 ,Buffalo '66    (1998)
960, 7.5/10 ,Mission: Impossible - Rogue Nation    (2015)
961, 7.5/10 ,The Texas Chain Saw Massacre    (1974)
962, 7.5/10 ,The Aviator    (2004)
963, 7.5/10 ,A History of Violence    (2005)
964, 7.5/10 ,Source Code    (2011)
965, 7.5/10 ,The Constant Gardener    (2005)
966, 7.5/10 ,Frenzy    (1972)
967, 7.5/10 ,Biutiful    (2010)
968, 7.5/10 ,Open Range    (2003)
969, 7.5/10 ,Pi    (1998)
970, 7.5/10 ,Still Alice    (2014)
971, 7.5/10 ,The Devil's Backbone    (2001)
972, 7.5/10 ,From Russia with Love    (1963)
973, 7.5/10 ,Thesis    (1996)
974, 7.5/10 ,Babel    (2006)
975, 7.5/10 ,In the Loop    (2009)
976, 7.5/10 ,In the Bedroom    (2001)
977, 7.5/10 ,Dracula    (1992)
978, 7.5/10 ,Bad Education    (2004)
979, 7.5/10 ,The Hobbit: The Battle of the Five Armies    (2014)
980, 7.5/10 ,The Mission    (1986)
981, 7.5/10 ,Bullitt    (1968)
982, 7.5/10 ,The Three Burials of Melquiades Estrada    (2005)
983, 7.5/10 ,Harry Potter and the Order of the Phoenix    (2007)
984, 7.5/10 ,Suspiria    (1977)
985, 7.5/10 ,Home Alone    (1990)
986, 7.5/10 ,Trading Places    (1983)
987, 7.5/10 ,Beetlejuice    (1988)
988, 7.5/10 ,Witness    (1985)
989, 7.5/10 ,Up in the Air    (2009)
990, 7.5/10 ,Begin Again    (2013)
991, 7.5/10 ,The Proposition    (2005)
992, 7.4/10 ,Looper    (2012)
993, 7.4/10 ,Running Scared    (2006)
994, 7.4/10 ,Ghost World    (2001)
995, 7.4/10 ,Inside Llewyn Davis    (2013)
996, 7.4/10 ,Man on the Moon    (1999)
997, 7.4/10 ,Notes on a Scandal    (2006)
998, 7.4/10 ,Mud    (2012)
999, 7.4/10 ,Alice in Wonderland    (1951)
1000, 7.4/10 ,Mean Streets    (1973)
